order,ncr_id,source_dataset,map_status,combined_into,entity_name,rendered_shortest,current_shortest,current_short,current_normal,tier,shortest_type,shortest_source,shortest_source_url,acronym,acronym_source,area_aliases,parent_org,region,roles,org_type,weight,issues,collision_ids,nearby_collision_ids
"1129","NCR01279","geocoded","published",,"North Carolina Electric Membership Corporation","NCEMC","NCEMC","NC Electric Membership Corporation","North Carolina Electric Membership Corporation","normal",,,,"NCEMC","official_website","[]",,"SERC","[""DP"",""GO"",""GOP"",""RP""]",,"7","[]","[]","[]"
"1130","NCR04108","geocoded","published",,"Oklahoma Municipal Power Authority","OMPA","OMPA","Oklahoma Municipal Power Authority","Oklahoma Municipal Power Authority","normal",,,,"OMPA","official_website","[]",,"MRO","[""DP"",""GO"",""GOP"",""RP""]","municipal","7","[]","[]","[]"
"1131","NCR07214","geocoded","published",,"Taunton Municipal Lighting Plant","TMLP","TMLP","Taunton Municipal Lighting Plant","Taunton Municipal Lighting Plant","normal",,,,"TMLP","official_website","[]",,"NPCC","[""DP"",""GO"",""GOP"",""TO""]","municipal","7","[]","[]","[]"
"1132","NCR11716","geocoded","published",,"Upper Michigan Energy Resources Corporation","UMERC","UMERC","Upper Michigan Energy Resources","Upper Michigan Energy Resources","normal",,,,"UMERC","official_website","[]",,"RF","[""DP"",""GO"",""GOP"",""RP""]",,"7","[]","[]","[]"
"1133","NCR04013","geocoded","published",,"Bluebonnet Electric Co Op, Inc.","BLBNNT","Bluebonnet","Bluebonnet Electric Cooperative","Bluebonnet Electric Cooperative","normal",,,,"Bluebonnet","official_website","[]",,"Texas RE","[""DP"",""TO"",""TP""]",,"7","[]","[]","[]"
"1134","NCR00972","geocoded","published",,"City Of Ames Electric Services","Ames","Ames","Ames Electric Services","Ames Electric Services","normal",,,,"Ames Electric","official_website","[]",,"MRO","[""DP"",""TO"",""TP""]","municipal","7","[]","[]","[]"
"1135","NCR05172","geocoded","published",,"Grays Harbor County PUD","GHPUD","GHPUD","Grays Harbor PUD","Grays Harbor County PUD","normal",,,,"GH PUD","name_initialism","[]",,"WECC","[""DP"",""TO"",""TP""]",,"7","[]","[]","[]"
"1136","NCR04079","geocoded","published",,"Guadalupe Valley Electric Co Op Inc.","GVEC","GVEC","Guadalupe Valley Electric Cooperative","Guadalupe Valley Electric Cooperative","normal",,,,"GVEC","official_website","[]",,"Texas RE","[""DP"",""TO"",""TP""]",,"7","[]","[]","[]"
"1137","NCR05206","geocoded","published",,"Klickitat County PUD","KLCKTT","Klickitat","Klickitat County PUD","Klickitat County PUD","normal",,,,"Klickitat PUD","official_website","[]",,"WECC","[""DP"",""TO"",""TP""]",,"7","[]","[]","[]"
"1138","NCR05225","geocoded","published",,"Lower Valley Energy","LVE","LVE","Lower Valley Energy","Lower Valley Energy","normal",,,,"LVE","official_website","[]",,"WECC","[""DP"",""TO"",""TP""]",,"7","[]","[]","[]"
"1139","NCR11077","geocoded","published",,"Nashville Electric Service","NES","NES","Nashville Electric Service","Nashville Electric Service","normal",,,,"NES","official_website","[]",,"SERC","[""DP"",""TO"",""TP""]",,"7","[]","[]","[]"
"1140","NCR04101","geocoded","published",,"New Braunfels Utilities","NBU","NBU","New Braunfels Utilities","New Braunfels Utilities","normal",,,,"NBU","official_website","[]",,"Texas RE","[""DP"",""TO"",""TP""]",,"7","[]","[]","[]"
"1141","NCR05280","geocoded","published",,"Northern Wasco County People's Utility District","NWCPUD","NWCPUD","Northern Wasco County PUD","Northern Wasco County PUD","normal",,,,"NWCPUD","official_website","[]",,"WECC","[""DP"",""TO"",""TP""]",,"7","[]","[]","[]"
"1142","NCR13373","geocoded","published",,"Sam Houston Electric Cooperative Inc.","SHECO","SHECO","Sam Houston Electric Cooperative","Sam Houston Electric Cooperative","normal",,,,"SHECO","official_website","[]",,"SERC","[""DP"",""TO"",""TP""]",,"7","[]","[]","[]"
"1143","NCR10328","geocoded","published",,"Southwest Louisiana Electric Membership Corporation","SLEMCO","SLEMCO","Southwest Louisiana Electric Membership Corporation","Southwest Louisiana Electric Membership Corporation","normal",,,,"SLEMCO","common_market_name","[]",,"SERC","[""DP"",""TO"",""TP""]",,"7","[]","[]","[]"
"1144","NCR05436","geocoded","published",,"Umatilla Electric Cooperative Assoc.","UEC","UEC","Umatilla Electric Cooperative","Umatilla Electric Cooperative","normal",,,,"UEC","official_website","[]",,"WECC","[""DP"",""TO"",""TP""]",,"7","[]","[]","[]"
"1145","NCR07013","geocoded","published",,"Versant Power","Versant","Versant","Versant Power","Versant Power","normal",,,,"Versant","official_website","[]","ENMAX Corporation","NPCC","[""DP"",""TO"",""TP""]","IOU","7","[]","[]","[]"
"1146","NCR07055","geocoded","published",,"Cross Sound Cable Company, LLC.","CSC","CSC","Cross Sound Cable","Cross Sound Cable Company","normal",,,,"Cross-Sound","official_website","[]",,"NPCC","[""TO"",""TSP""]","merchant","7","[]","[]","[]"
"1147","NCR07091","geocoded","published",,"New Hampshire Transmission, LLC","NHT","NHT","New Hampshire Transmission","New Hampshire Transmission","normal",,,,"NHT","name_initialism","[]","NextEra Energy Transmission","NPCC","[""TO"",""TSP""]","other","7","[]","[]","[]"
"1148","NCR11708","geocoded","published",,"Western Interconnect LLC","WI","WI","Western Interconnect","Western Interconnect LLC","normal","alias_code","public_filing","https://patternenergy.com/wp-content/uploads/2025/09/Pattern-Energy-Group-LP-SOC-Procedure.pdf","WI","common_market_name","[]",,"WECC","[""TO"",""TSP""]",,"7","[]","[]","[]"
"1149","NCR11163","geocoded","published",,"Central Nebraska Public Power and Irrigation District, The","CNPPID","CNPPID","Central Nebraska Public Power and Irrigation District","Central Nebraska Public Power and Irrigation District","normal",,,,"CNPPID","official_website","[]",,"MRO","[""GO"",""GOP"",""TO""]","municipal","6","[]","[]","[]"
"1150","NCR00251","geocoded","published",,"Essential Power Rock Springs, LLC","Essentia","Essential","Essential Power Rock Springs","Essential Power Rock Springs","normal",,,,"Essentia","name_initialism","[]",,"RF","[""GO"",""GOP"",""TO""]",,"6","[]","[]","[]"
"1151","NCR10362","geocoded","published",,"Indeck - Oswego, LP","Oswego","Oswego","Indeck Oswego","Indeck Oswego","normal",,,,"Oswego","common_market_name","[]","Indeck Energy Services","NPCC","[""GO"",""GOP"",""TO""]","merchant","6","[]","[]","[]"
"1152","NCR00796","geocoded","published",,"Indiana Municipal Power Agency","IMPA","IMPA","Indiana Municipal Power Agency","Indiana Municipal Power Agency","normal",,,,"IMPA","official_website","[]",,"RF","[""GO"",""GOP"",""RP""]",,"6","[]","[]","[]"
"1153","NCR07136","geocoded","published",,"Mass. Municipal Wholesale Electric Company","MMWEC","MMWEC","Massachusetts Municipal Wholesale Electric Company","Massachusetts Municipal Wholesale Electric Company","normal",,,,"MMWEC","official_website","[]",,"NPCC","[""GO"",""GOP"",""TO""]","cooperative","6","[]","[]","[]"
"1154","NCR00377","geocoded","published",,"Nevada Gold Energy LLC","NGE","NGE","Nevada Gold Energy","Nevada Gold Energy","normal",,,,"NGE","name_initialism","[]",,"WECC","[""GO"",""GOP"",""TO""]",,"6","[]","[]","[]"
"1155","NCR00857","geocoded","published",,"Ohio Valley Electric Corporation","OVEC","OVEC","Ohio Valley Electric Corporation","Ohio Valley Electric Corporation","normal",,,,"OVEC","official_website","[]",,"RF","[""GO"",""GOP"",""TO""]",,"6","[]","[]","[]"
"1156","NCR05441","geocoded","published",,"US Bureau of Reclamation","USBR","USBR","U.S. Bureau of Reclamation","US Bureau of Reclamation","major",,,,"Reclamation","common_market_name","[]",,"WECC","[""GO"",""GOP"",""TO""]",,"6","[]","[]","[]"
"1157","NCR05445","geocoded","published",,"Utah Associated Municipal Power Systems","UAMPS","UAMPS","Utah Associated Municipal Power Systems","Utah Associated Municipal Power Systems","normal",,,,"UAMPS","official_website","[]",,"WECC","[""GO"",""GOP"",""RP""]",,"6","[]","[]","[]"
"1158","NCR13552","geocoded","published",,"CHPE LLC","CHPE","CHPE","Champlain Hudson Power Express","Champlain Hudson Power Express","normal",,,,"CHPE","common_market_name","[]","TDI-USA Holdings LLC","NPCC","[""TO"",""TP""]","merchant","6","[]","[]","[]"
"1159","NCR13072","geocoded","published",,"Concordia Electric Cooperative, Inc.","CNCRD","Concordia","Concordia Electric Cooperative","Concordia Electric Cooperative","normal",,,,"Concordia EC","official_website","[]",,"SERC","[""TO"",""TP""]",,"6","[]","[]","[]"
"1160","NCR12025","geocoded","published",,"DesertLink, LLC","DSRTLN","DesertLink","DesertLink","DesertLink","normal",,,,"DesertLink","common_market_name","[]",,"WECC","[""TO"",""TP""]",,"6","[]","[]","[]"
"1161","NCR11444","geocoded","published",,"Glencoe Light and Power Commission","GLPC","GLPC","Glencoe Light and Power Commission","Glencoe Light and Power Commission","normal",,,,"GLPC","name_initialism","[]",,"MRO","[""TO"",""TP""]","municipal","6","[]","[]","[]"
"1162","NCR11783","geocoded","published",,"GridLiance Holdco, LLC","GRDLNC","GridLiance","GridLiance","GridLiance","normal",,,,"GridLiance","official_website","[]","NextEra Energy Transmission","MRO","[""TO"",""TP""]","IOU","6","[]","[]","[]"
"1163","NCR12006","geocoded","published",,"Horizon West Transmission, LLC","HWT","HWT","Horizon West Transmission","Horizon West Transmission","normal",,,,"HWT","name_initialism","[]",,"WECC","[""TO"",""TP""]",,"6","[]","[]","[]"
"1164","NCR13037","geocoded","published",,"Jefferson Davis Electric Cooperative, Inc.","JDEC","JDEC","Jefferson Davis Electric Cooperative","Jefferson Davis Electric Cooperative","normal",,,,"JDEC","official_website","[]",,"SERC","[""TO"",""TP""]",,"6","[]","[]","[]"
"1165","NCR12486","geocoded","published",,"Jicarilla Apache Nation Power Authority","JANPA","JANPA","Jicarilla Power Authority","Jicarilla Apache Nation Power Authority","normal",,,,"JANPA","common_market_name","[]",,"WECC","[""TO"",""TP""]",,"6","[]","[]","[]"
"1166","NCR12138","geocoded","published",,"LS Power Grid New York Corporation I","LSPG","LSPG","LS Power Grid New York","LS Power Grid New York","normal",,,,"LSPG-NY","name_initialism","[]",,"NPCC","[""TO"",""TP""]","merchant","6","[]","[]","[]"
"1167","NCR07134","geocoded","published",,"Maine Electric Power Company","MEPCO","MEPCO","Maine Electric Power","Maine Electric Power Company","normal",,,,"MEPCO","name_initialism","[]",,"NPCC","[""TO"",""TP""]","merchant","6","[]","[]","[]"
"1168","NCR11639","geocoded","published",,"New York Transco LLC","NYTRNS","NYTransco","New York Transco","New York Transco","normal",,,,"NYTransco","official_website","[]",,"NPCC","[""TO"",""TP""]","other","6","[]","[]","[]"
"1169","NCR12183","geocoded","published",,"NextEra Energy Transmission New York","NEETNY","NEETNY","NextEra Energy Transmission New York","NextEra Energy Transmission New York","normal",,,,"NEETNY","official_website","[]","NextEra Energy Transmission, LLC","NPCC","[""TO"",""TP""]","other","6","[]","[]","[]"
"1170","NCR05522","geocoded","published",,"Public Utility District No. 1 of Whatcom County","WP","Whatcom PUD","Whatcom County PUD","Whatcom County PUD No. 1","normal",,,,"Whatcom PUD","official_website","[]",,"WECC","[""TO"",""TP""]",,"6","[]","[]","[]"
"1171","NCR12027","geocoded","published",,"Republic Transmission, LLC","Republic","Republic","Republic Transmission","Republic Transmission","normal",,,,"Republic TX","name_initialism","[]",,"RF","[""TO"",""TP""]",,"6","[]","[]","[]"
"1172","NCR04119","geocoded","published",,"Sharyland Utilities, L.L.C.","SHRYLN","Sharyland","Sharyland Utilities","Sharyland Utilities","normal",,,,"Sharyland","official_website","[]",,"Texas RE","[""TO"",""TP""]",,"6","[]","[]","[]"
"1173","NCR13532","geocoded","published",,"SunZia Transmission, LLC","SunZia","SunZia","SunZia Transmission","SunZia Transmission, LLC","normal",,,,"SunZia","common_market_name","[]",,"WECC","[""TO"",""TP""]",,"6","[]","[]","[]"
"1174","NCR13143","geocoded","published",,"Everline Tech Ops, LLC","Everline","Everline","Everline Tech Ops","Everline Tech Ops","normal",,,,"Everline","official_website","[]",,"SERC","[""TOP""]",,"6","[]","[]","[]"
"1175","NCR01248","geocoded","published",,"Georgia System Operations Corporation","GSOC","GSOC","Georgia System Operations","Georgia System Operations Corporation","normal",,,,"GSOC","official_website","[]",,"SERC","[""TOP""]",,"6","[]","[]","[]"
"1176","NCR11393","geocoded","published",,"Gridforce Energy Management, LLC","GRDFRC","Gridforce","Gridforce Energy Management","Gridforce Energy Management","normal",,,,"Gridforce","common_market_name","[]",,"SERC","[""TOP""]",,"6","[]","[]","[]"
"1177","NCR07159","geocoded","published",,"New England Power Company","NEP","NEP","New England Power Company","New England Power Company","normal",,,,"NEP","name_initialism","[]","National Grid USA","NPCC","[""TOP""]","IOU","6","[]","[]","[]"
"1178","NCR11439","geocoded","published",,"CalPECo","CalPECo","CalPECo","CalPECo","CalPECo","normal",,,,"CalPECo","official_website","[]",,"WECC","[""DP"",""GO"",""GOP""]",,"5","[]","[]","[]"
"1179","NCR05084","geocoded","published",,"City of Idaho Falls Electric Light Division","IFPower","IFPower","Idaho Falls Power","Idaho Falls Power","normal",,,,"IFPower","official_website","[]",,"WECC","[""DP"",""GO"",""GOP""]",,"5","[]","[]","[]"
"1180","NCR05096","geocoded","published",,"City of St George","SGES","SGES","St. George Energy Services","St. George Energy Services","normal",,,,"SGES","official_website","[]",,"WECC","[""DP"",""GO"",""GOP""]",,"5","[]","[]","[]"
"1181","NCR00997","geocoded","published",,"Hutchinson Utilities Commission","HUC","HUC","Hutchinson Utilities Commission","Hutchinson Utilities Commission","normal",,,,"HUC","name_initialism","[]",,"MRO","[""DP"",""RP"",""TO""]","municipal","5","[]","[]","[]"
"1182","NCR00859","geocoded","published",,"Old Dominion Electric Cooperative","ODEC","ODEC","Old Dominion Electric Cooperative","Old Dominion Electric Cooperative","normal",,,,"ODEC","official_website","[]",,"RF","[""DP"",""GO"",""GOP""]",,"5","[]","[]","[]"
"1183","NCR07191","geocoded","published",,"Peabody Municipal Light Plant","PMLP","PMLP","Peabody Municipal Light Plant","Peabody Municipal Light Plant","normal",,,,"PMLP","official_website","[]",,"NPCC","[""DP"",""GO"",""GOP""]","municipal","5","[]","[]","[]"
"1184","NCR00940","geocoded","published",,"Wabash Valley Power Association, Inc.","WVPA","WVPA","Wabash Valley Power","Wabash Valley Power Association","normal",,,,"WVPA","official_website","[]",,"RF","[""DP"",""GO"",""TO""]",,"5","[]","[]","[]"
"1185","NCR12357","geocoded","published",,"A.B. Wind LLC","ABW","ABW","A.B. Wind","A.B. Wind","normal",,,,"ABW","name_initialism","[]",,"RF","[""GO"",""GOP""]",,"4","[]","[]","[]"
"1186","NCR13461","geocoded","published",,"AEM Wind, LLC","AEM","AEM","AEM Wind","AEM Wind","normal",,,,"AEM","name_initialism","[]",,"MRO","[""GO"",""GOP""]","merchant","4","[]","[]","[]"
"1187","NCR11178","geocoded","published",,"AES Laurel Mountain, LLC","Laurel","Laurel","AES Laurel Mountain","AES Laurel Mountain","normal",,,,"Laurel Mountain","common_market_name","[]","The AES Corporation","RF","[""GO"",""GOP""]","merchant","4","[]","[]","[]"
"1188","NCR12533","geocoded","published",,"AEUG Union Solar, LLC","Union","Union","Union Solar","Union Solar","normal",,,,"Union Solar","common_market_name","[]","Acciona Energy USA Global, LLC","RF","[""GO"",""GOP""]","merchant","4","[]","[]","[]"
"1189","NCR10001","geocoded","published",,"Air Liquide Large Industries U.S., LP","AL","Air Liquide","Air Liquide","Air Liquide","normal",,,,"Air Liquide","official_website","[]",,"Texas RE","[""GO"",""GOP""]",,"4","[]","[]","[]"
"1190","NCR11050","geocoded","published",,"AL Sandersville, LLC","SNDRSV","Sandersville","AL Sandersville","AL Sandersville","normal",,,,"AL Sandersville","name_initialism","[]",,"SERC","[""GO"",""GOP""]",,"4","[]","[]","[]"
"1191","NCR01165","geocoded","published",,"Alabama Municipal Electric Authority","AMEA","AMEA","Alabama Municipal Electric Authority","Alabama Municipal Electric Authority","normal",,,,"AMEA","official_website","[]",,"SERC","[""GO"",""GOP""]",,"4","[]","[]","[]"
"1192","NCR11641","geocoded","published",,"Alamo 6, LLC","Alamo 6","Alamo 6","Alamo 6 Solar","Alamo 6 Solar","normal",,,,"Alamo 6","common_market_name","[]",,"Texas RE","[""GO"",""GOP""]",,"4","[]","[]","[]"
"1193","NCR12135","geocoded","published",,"Albany Green Energy","AGE","AGE","Albany Green Energy","Albany Green Energy","normal",,,,"AGE","name_initialism","[]",,"SERC","[""GO"",""GOP""]",,"4","[]","[]","[]"
"1194","NCR00667","geocoded","published",,"Alcoa Power Generating Inc.","APGI","APGI","Alcoa Power Generating","Alcoa Power Generating","normal",,,,"APGI","common_market_name","[]","Alcoa Corporation","RF","[""GO"",""GOP""]","other","4","[]","[]","[]"
"1195","NCR13264","geocoded","published",,"Alexander Wind Farm LLC","LXNDR","Alexander","Alexander Wind Farm","Alexander Wind Farm","normal",,,,"Alexander","name_initialism","[]","Skyline Renewables","MRO","[""GO"",""GOP""]","merchant","4","[]","[]","[]"
"1196","NCR11387","geocoded","published",,"Allegany Generating Station LLC","Allegany","Allegany","Allegany Generating Station","Allegany Generating Station","normal",,,,"Allegany","common_market_name","[]","Alliance Energy Group","NPCC","[""GO"",""GOP""]","merchant","4","[]","[]","[]"
"1197","NCR05363","geocoded","published",,"AltaGas Ripon Energy Inc.","Ripon","Ripon","AltaGas Ripon Energy","AltaGas Ripon Energy","normal",,,,"AltaGas Ripon","name_initialism","[]",,"WECC","[""GO"",""GOP""]",,"4","[]","[]","[]"
"1198","NCR13324","geocoded","published",,"Altamont Winds LLC","Altamont","Altamont","Altamont Winds","Altamont Winds","normal",,,,"Altamont Winds","name_initialism","[]",,"WECC","[""GO"",""GOP""]",,"4","[]","[]","[]"
"1199","NCR12051","geocoded","published",,"Amadeus Wind, LLC","Amadeus","Amadeus","Amadeus Wind","Amadeus Wind","normal",,,,"Amadeus Wind","name_initialism","[]",,"Texas RE","[""GO"",""GOP""]",,"4","[]","[]","[]"
"1200","NCR00680","geocoded","published",,"American Bituminous Power Partners, L.P.","ABPP","ABPP","American Bituminous Power Partners","American Bituminous Power Partners","normal",,,,"ABPP","common_market_name","[]",,"RF","[""GO"",""GOP""]","merchant","4","[]","[]","[]"
"1201","NCR13243","geocoded","published",,"American Falls Solar, LLC","AFS","AFS","American Falls Solar","American Falls Solar","normal",,,,"AFS","name_initialism","[]",,"WECC","[""GO"",""GOP""]",,"4","[]","[]","[]"
"1202","NCR12103","geocoded","published",,"Anson Solar Center, LLC","Anson","Anson","Anson Solar Center","Anson Solar Center","normal",,,,"Anson Solar","common_market_name","[]",,"Texas RE","[""GO"",""GOP""]",,"4","[]","[]","[]"
"1203","NCR07076","geocoded","published",,"AP (Curtis Palmer) LLC","Curtis","Curtis","Curtis Palmer","Curtis Palmer","normal",,,,"Curtis Palmer","common_market_name","[]","Innergex","NPCC","[""GO"",""GOP""]","merchant","4","[]","[]","[]"
"1204","NCR13506","geocoded","published",,"Apple Energy LLC","Apple","Apple","Apple Energy","Apple Energy","normal",,,,"Apple Energy","sec_filing","[]",,"SERC","[""GO"",""GOP""]",,"4","[]","[]","[]"
"1205","NCR13279","geocoded","published",,"Apple River Solar, LLC","AR","Apple River","Apple River Solar","Apple River Solar","normal",,,,"Apple River","name_initialism","[]","Geronimo Power","MRO","[""GO"",""GOP""]","merchant","4","[]","[]","[]"
"1206","NCR05014","geocoded","published",,"Aragonne Wind LLC","Aragonne","Aragonne","Aragonne Wind","Aragonne Wind","normal",,,,"Aragonne","common_market_name","[]",,"WECC","[""GO"",""GOP""]",,"4","[]","[]","[]"
"1207","NCR11426","geocoded","published",,"Arlington Valley Solar Energy II, LLC","AVSE II","AVSE II","Arlington Valley Solar Energy II","Arlington Valley Solar Energy II","normal",,,,"AVSE II","name_initialism","[]",,"WECC","[""GO"",""GOP""]",,"4","[]","[]","[]"
"1208","NCR03051","geocoded","published",,"Arlington Valley, LLC","RLNGTN","Arlington","Arlington Valley","Arlington Valley","normal",,,,"Arlington Valley","name_initialism","[]",,"WECC","[""GO"",""GOP""]",,"4","[]","[]","[]"
"1209","NCR11760","geocoded","published",,"Armstrong Power, LLC","RMSTRN","Armstrong","Armstrong Power","Armstrong Power","normal",,,,"Armstrong","common_market_name","[]",,"RF","[""GO"",""GOP""]","merchant","4","[]","[]","[]"
"1210","NCR12232","geocoded","published",,"Arthur Kill Power, LLC","AK","Arthur Kill","Arthur Kill Power","Arthur Kill Power","normal",,,,"Arthur Kill","common_market_name","[]","ArcLight Capital Partners","NPCC","[""GO"",""GOP""]","merchant","4","[]","[]","[]"
"1211","NCR11452","geocoded","published",,"ASI Operations Inc","ASI","ASI","ASI Operations","ASI Operations","normal",,,,"ASI Ops","name_initialism","[]",,"WECC","[""GO"",""GOP""]",,"4","[]","[]","[]"
"1212","NCR13417","geocoded","published",,"Aspenall Energies (Delaware), LLC","Aspenall","Aspenall","Aspenall Energies","Aspenall Energies","normal",,,,"Aspenall","official_website","[]","Treehouse Investments, LLC","MRO","[""GO"",""GOP""]","merchant","4","[]","[]","[]"
"1213","NCR11746","geocoded","published",,"Astra Wind, LLC","Astra","Astra","Astra Wind","Astra Wind","normal",,,,"Astra","common_market_name","[]",,"Texas RE","[""GO"",""GOP""]",,"4","[]","[]","[]"
"1214","NCR11659","geocoded","published",,"Aurora Generation, LLC","Aurora","Aurora","Aurora Generation","Aurora Generation","normal",,,,"Aurora","common_market_name","[]","LS Power Development LLC","RF","[""GO"",""GOP""]","merchant","4","[]","[]","[]"
"1215","NCR12115","geocoded","published",,"Aviator Wind, LLC","Aviator","Aviator","Aviator Wind","Aviator Wind","normal",,,,"Aviator","common_market_name","[]",,"Texas RE","[""GO"",""GOP""]",,"4","[]","[]","[]"
"1216","NCR12409","geocoded","published",,"Ball Hill Wind, LLC","BH","Ball Hill","Ball Hill Wind","Ball Hill Wind","normal",,,,"Ball Hill","common_market_name","[]","Northland Power","NPCC","[""GO"",""GOP""]","merchant","4","[]","[]","[]"
"1217","NCR11411","geocoded","published",,"Barrick Goldstrike Mines Inc.","GLDSTR","Goldstrike","Barrick Goldstrike Mines","Barrick Goldstrike Mines","normal",,,,"Goldstrike","common_market_name","[]",,"WECC","[""GO"",""GOP""]",,"4","[]","[]","[]"
"1218","NCR04011","geocoded","published",,"BASF Corp","BASF","BASF","BASF","BASF","normal",,,,"BASF","official_website","[]",,"Texas RE","[""GO"",""GOP""]",,"4","[]","[]","[]"
"1219","NCR04012","geocoded","published",,"Bastrop Energy Partners, LP","Bastrop","Bastrop","Bastrop Energy Partners","Bastrop Energy Partners","normal",,,,"Bastrop Energy","common_market_name","[]",,"Texas RE","[""GO"",""GOP""]",,"4","[]","[]","[]"
"1220","NCR12118","geocoded","published",,"Battle Mountain SP, LLC","BM","Battle Mtn","Battle Mountain Solar","Battle Mountain Solar","normal",,,,"Battle Mtn SP","name_initialism","[]",,"WECC","[""GO"",""GOP""]",,"4","[]","[]","[]"
"1221","NCR13051","geocoded","published",,"Bayou Cove","BC","Bayou Cove","Bayou Cove","Bayou Cove","normal",,,,"Bayou Cove","name_initialism","[]",,"SERC","[""GO"",""GOP""]",,"4","[]","[]","[]"
"1222","NCR11814","geocoded","published",,"Bearkat Wind Energy I, LLC","Bearkat","Bearkat","Bearkat Wind Energy","Bearkat Wind Energy","normal",,,,"Bearkat","common_market_name","[]",,"Texas RE","[""GO"",""GOP""]",,"4","[]","[]","[]"
"1223","NCR12551","geocoded","published",,"Bekevar Wind LP","Bekevar","Bekevar","Bekevar Wind","Bekevar Wind","normal",,,,"Bekevar","name_initialism","[]","Innagreen; Cowessess First Nation (ANEDLP)","MRO","[""GO"",""GOP""]","merchant","4","[]","[]","[]"
"1224","NCR00170","geocoded","published",,"Benton County Wind Farm, LLC","Benton","Benton","Benton County Wind Farm","Benton County Wind Farm","normal",,,,"Benton County Wind","common_market_name","[]","Orion Energy Group LLC","RF","[""GO"",""GOP""]","merchant","4","[]","[]","[]"
"1225","NCR12214","geocoded","published",,"Bergen Generating Station","Bergen","Bergen","Bergen Generating Station","Bergen Generating Station","normal",,,,"Bergen","common_market_name","[]","Parkway Generation, LLC","RF","[""GO"",""GOP""]","merchant","4","[]","[]","[]"
"1226","NCR10351","geocoded","published",,"Berkshire Power Company, LLC","BRKSHR","Berkshire","Berkshire Power","Berkshire Power","normal",,,,"Berkshire Power","common_market_name","[]","Tenaska","NPCC","[""GO"",""GOP""]","merchant","4","[]","[]","[]"
"1227","NCR11559","geocoded","published",,"Berlin Station, LLC","Berlin","Berlin","Berlin Station","Berlin Station","normal",,,,"Berlin Station","name_initialism","[]","Burgess BioPower","NPCC","[""GO"",""GOP""]","merchant","4","[]","[]","[]"
"1228","NCR12230","geocoded","published",,"Bethlehem Energy Center","BTHLHM","Bethlehem","Bethlehem Energy Center","Bethlehem Energy Center","normal",,,,"Bethlehem","common_market_name","[]","Generation Bridge II","NPCC","[""GO"",""GOP""]","merchant","4","[]","[]","[]"
"1229","NCR00257","geocoded","published",,"BHE Glacier Wind, LLC","Glacier","Glacier","BHE Glacier Wind","BHE Glacier Wind","normal",,,,"BHE Glacier","name_initialism","[]",,"WECC","[""GO"",""GOP""]",,"4","[]","[]","[]"
"1230","NCR11272","geocoded","published",,"BHE Rim Rock Wind, LLC","Rim Rock","Rim Rock","BHE Rim Rock Wind","BHE Rim Rock Wind","normal",,,,"Rim Rock","common_market_name","[]",,"WECC","[""GO"",""GOP""]",,"4","[]","[]","[]"
"1231","NCR13470","geocoded","published",,"Big Blue WInd Farm, LLC","Big Blue","Big Blue","Big Blue Wind Farm","Big Blue Wind Farm","normal",,,,"Big Blue","name_initialism","[]","Fagen, Inc.","MRO","[""GO"",""GOP""]","merchant","4","[]","[]","[]"
"1232","NCR13052","geocoded","published",,"Big Cajun 1","BC1","BC1","Big Cajun 1","Big Cajun 1","normal",,,,"BC1","name_initialism","[]",,"SERC","[""GO"",""GOP""]",,"4","[]","[]","[]"
"1233","NCR13053","geocoded","published",,"Big Cajun 2","BC2","BC2","Big Cajun 2","Big Cajun 2","normal",,,,"BC2","name_initialism","[]",,"SERC","[""GO"",""GOP""]",,"4","[]","[]","[]"
"1234","NCR11973","geocoded","published",,"Big Level Wind LLC","BL","Big Level","Big Level Wind","Big Level Wind","normal",,,,"Big Level Wind","common_market_name","[]","TransAlta","RF","[""GO"",""GOP""]","merchant","4","[]","[]","[]"
"1235","NCR12426","geocoded","published",,"Big Plain Solar, LLC","BP","Big Plain","Big Plain Solar","Big Plain Solar","normal",,,,"Big Plain Solar","common_market_name","[]","Leeward Renewable Energy","RF","[""GO"",""GOP""]","merchant","4","[]","[]","[]"
"1236","NCR11461","geocoded","published",,"Big Sky Wind, LLC","Big Sky","Big Sky","Big Sky Wind","Big Sky Wind","normal",,,,"Big Sky Wind","common_market_name","[]","Vitol Wind I, LLC","RF","[""GO"",""GOP""]","merchant","4","[]","[]","[]"
"1237","NCR13290","geocoded","published",,"BirdDog Solar, LLC","BirdDog","BirdDog","BirdDog Solar","BirdDog Solar","normal",,,,"BirdDog","name_initialism","[]",,"SERC","[""GO"",""GOP""]",,"4","[]","[]","[]"
"1238","NCR13306","geocoded","published",,"Biscayne Falls SPV, LLC","Biscayne","Biscayne","Biscayne Falls Solar","Biscayne Falls Solar","normal",,,,"Biscayne Falls Solar","common_market_name","[]","Zelestra","RF","[""GO"",""GOP""]","merchant","4","[]","[]","[]"
"1239","NCR11309","geocoded","published",,"Bishop Hill Energy II LLC","BH2","BH2","Bishop Hill Energy II","Bishop Hill Energy II","normal",,,,"BH2","name_initialism","[]",,"SERC","[""GO"",""GOP""]",,"4","[]","[]","[]"
"1240","NCR11856","geocoded","published",,"Bishop Hill Energy III LLC","BH3","BH3","Bishop Hill Energy III","Bishop Hill Energy III","normal",,,,"BH3","name_initialism","[]",,"SERC","[""GO"",""GOP""]",,"4","[]","[]","[]"
